pattern,initial_t_count,final_t_count,reduction,total_gates,operator_norm,frobenius_norm,process_fidelity,avg_gate_fidelity,infidelity
Trotter-1st-Order,28,2,0,2,1.971742037036e+00,3.313967228533e+00,0.277955726803719,0.422364581442975,5.776354185570e-01
Trotter-2nd-Order,41,1,0,5,1.971742037036e+00,2.898113359580e+00,0.103956389453969,0.283165111563176,7.168348884368e-01
Symmetric-Suzuki,64,2,0,5,1.157342592360e+00,1.693622587432e+00,0.822929845920195,0.858343876736156,1.416561232638e-01
Dense-Approximation,52,2,0,5,1.901180878056e+00,2.426052188791e+00,0.208823815270499,0.367059052216399,6.329409477836e-01
Optimized-Custom,60,0,0,5,1.820154149598e+00,2.828427124746e+00,0.685014294119285,0.748011435295428,2.519885647046e-01
